Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
0;0;16;no;1;yes;"{""code"": ""7113"", ""name"": ""Berges de Seine - Musée d'Orsay"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1534057200, ""gps"": {""latitude"": 48.8627885936562, ""longitude"": 2.3064593598246574}}";0;yes;0;12;no;0;4;0;7113;Berges de Seine - Musée d'Orsay;Operative;yes;6862751.88088,649119.025848;2018-08-12
49;0;63;no;1;yes;"{""code"": ""7009"", ""name"": ""Assemblée Nationale"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1547980284, ""gps"": {""latitude"": 48.86141101465194, ""longitude"": 2.320121418520769}}";0;yes;0;7;no;0;7;0;7009;Assemblée Nationale;Operative;yes;6862589.98918,650119.986368;2019-01-20
17;0;18;no;1;no;"{""code"": ""10027"", ""name"": ""Dunkerque - Alsace"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529661166, ""gps"": {""latitude"": 48.879355, ""longitude"": 2.358379}}";0;yes;0;1;no;0;0;0;10027;Dunkerque - Alsace;Operative;yes;6864561.74274,652942.943791;2018-06-22
11;0;21;no;1;no;"{""code"": ""8048"", ""name"": ""Marceau - Chaillot"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1527717600, ""gps"": {""latitude"": 48.86883394989261, ""longitude"": 2.2989967837929726}}";0;yes;0;2;no;0;8;0;8048;Marceau - Chaillot;Operative;yes;6863428.90797,648577.522761;2018-05-30
1;0;1;no;1;yes;"{""code"": ""14013"", ""name"": ""Liard - Amiral Mouchez"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517266839, ""gps"": {""latitude"": 48.8214169, ""longitude"": 2.342167}}";14;yes;12;0;no;13;1;0;14013;Liard - Amiral Mouchez;Operative;yes;6858129.35769,651700.297748;2018-01-29
0;0;0;no;1;yes;"{""code"": ""12031"", ""name"": ""Gabriel Lamé"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1519686027, ""gps"": {""latitude"": 48.8351212784276, ""longitude"": 2.385534569621086}}";36;yes;11;19;no;36;6;0;12031;Gabriel Lamé;Operative;no;6859627.47875,654896.241723;2018-02-26
2;0;22;no;1;no;"{""code"": ""7011"", ""name"": ""Las Cases - Bourgogne"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529659965, ""gps"": {""latitude"": 48.85909110474066, ""longitude"": 2.3185685276985173}}";0;yes;0;11;no;0;9;0;7011;Las Cases - Bourgogne;Operative;yes;6862333.01759,650003.833562;2018-06-22
19;0;22;no;1;no;"{""code"": ""18111"", ""name"": ""Félix Ziem - Armand Gauthier"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540936740, ""gps"": {""latitude"": 48.88949630486821, ""longitude"": 2.333393658804396}}";0;yes;2;0;no;3;0;0;18111;Félix Ziem - Armand Gauthier;Operative;yes;6865704.57321,651120.059235;2018-10-30
37;0;40;no;1;yes;"{""code"": ""17010"", ""name"": ""Jonquière - Docteur Paul Brousse"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1542751140, ""gps"": {""latitude"": 48.894799816683985, ""longitude"": 2.318705212173216}}";40;yes;0;2;no;0;0;0;17010;Jonquière - Docteur Paul Brousse;Operative;yes;6866303.48705,650048.120901;2018-11-20
8;0;32;no;0;no;"{""code"": ""41303"", ""name"": ""Gare de Nogent-le-Perreux"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1570053600, ""gps"": {""latitude"": 48.83842553348809, ""longitude"": 2.493693307042122}}";0;yes;0;17;no;0;6;0;41303;Gare de Nogent-le-Perreux;Operative;yes;6859938.5378,662837.679722;2019-10-02
